source,target,coef_abs
twist1a,hmgb2a,0.020111525
bhlhe41,stmn1a,0.020096917
en1b,hmga1a,0.020090073
rxraa,robo1,0.020088522
hmga1a,ncl,0.02002905
bhlhe41,ncl,0.02000402
her9,mibp2,0.019964948
pax6b,serbp1a,0.019961867
en2b,efna2a,0.01993251
barhl2,cntfr,0.019926524
hoxc6b,pcna,0.019912597
lmx1a,mdkb,0.019906841
etv4,mibp2,0.019900901
her6,pabpc1a,0.01990046
nr2f1b,pax3a,0.019895874
en1b,hmgb2a,0.01987194
meis2a,serbp1a,0.019866383
rxraa,slc1a3a,0.019857045
foxg1d,hspa8,0.019844932
erfl1,epha4b,0.019798173
zic3,histh1l,0.019725915
pax2a,stmn1a,0.019724188
foxg1d,hsp90ab1,0.019709317
hoxa4a,dkc1,0.019705692
her6,eif5a2,0.019700347
zic2a,mibp2,0.01967694
fosab,hsp90ab1,0.019667068
barx1,hmga1a,0.01965579
tp73,slc1a3a,0.019639071
myog,histh1l,0.019621963
rx1,ccng1,0.019588748
etv2,stmn1a,0.019571168
hoxa2b,mibp2,0.019552436
nr2f1b,pax6a,0.01954848
foxg1d,pabpc1a,0.019544384
shox2,cirbpa,0.019488215
barhl1a,serbp1a,0.019472988
foxd1,mab21l2,0.019421782
pax3a,pax7b,0.019409375
rx1,hspa8,0.019408729
foxi3a,hspa8,0.01932557
rx1,hsp90ab1,0.019292757
en2a,ncl,0.019257797
sox14,actc1b,0.01924619
zgc:101100,fabp7a,0.019245032
phox2bb,ptmaa,0.019243846
arxb,marcksl1a,0.019205432
nr2e3,stmn1a,0.019161249
egr2b,hmga1a,0.019127453
hnf4g,cdon,0.01910414
neurod6b,tuba8l3,0.01907361
nkx2.5,hmga1a,0.01906708
FQ377628.1,serbp1a,0.019009665
foxd1,hsp90ab1,0.018979147
foxd3,mibp2,0.018977243
tbx5b,stmn1a,0.018955836
en2a,hspa8,0.018928574
foxd3,slc1a3a,0.01890103
meis2a,si:ch73-21g5.7,0.018889755
twist1a,mibp2,0.018881166
rx1,pa2g4a,0.018865298
foxf2b,ncl,0.01886386
tbx5b,pabpc1a,0.018852191
fosl2,tenm4,0.018849917
foxi2,nop56,0.018838422
en1b,cirbpa,0.018785926
