"","degree_all","degree_in","degree_out","clustering_coefficient","clustering_coefficient_weighted","degree_centrality_all","degree_centrality_in","degree_centrality_out","betweenness_centrality","closeness_centrality","eigenvector_centrality","page_rank","assortative_coefficient","average_path_length","community_random_walk","module","connectivity","participation","role"
"pbx1b",3,0,3,0,0,0.00714285714285714,0,0.00714285714285714,0,20.0286341370804,0.0149426845147783,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,1,-0.792025345216576,0.666666666666667,"Connector"
"nkx6.2",2,0,2,0,0,0.00476190476190476,0,0.00476190476190476,0,28.0575371424974,0.0136332571126385,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,5,-1.04464339804033,0,"Ultra peripheral"
"nr5a1b",2,0,2,0,0,0.00476190476190476,0,0.00476190476190476,0,0.167755291874485,0.0240404707265814,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,0,-0.730278962233043,0.5,"Peripheral"
"onecut2",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,55.5988176133051,0.00174491740100503,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,5,-1.15201573873826,0,"Ultra peripheral"
"neurod1",2,0,2,0,0,0.00476190476190476,0,0.00476190476190476,0,28.7384135338156,0.00690865390376786,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,2,-0.789171229518909,0.5,"Peripheral"
"hoxa11b",3,0,3,0,0,0.00714285714285714,0,0.00714285714285714,0,19.7661299180676,0.00940629388434919,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.228596876764554,0,"Ultra peripheral"
"lhx1a",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,56.8368637077588,0.00213392621574951,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,0,-0.730278962233043,0,"Ultra peripheral"
"ebf3a",2,0,2,0,0,0.00476190476190476,0,0.00476190476190476,0,30.3867199337763,0.00380162931221122,0.00161186507332249,-0.102579097071177,0.0516736331281503,2,4,-0.68579063029366,0.5,"Peripheral"
"foxf1",2,0,2,0,0,0.00476190476190476,0,0.00476190476190476,0,29.2231464854053,0.00922562283546277,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,2,-0.542986618561115,0,"Ultra peripheral"
"foxp2",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,57.9095296790685,0.00375322490490295,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,0,-0.730278962233043,0,"Ultra peripheral"
