,source,target,coef_mean,coef_abs,p,-logp
15983,isl1l,wnk2,8.604733e-05,8.604733e-05,5.0930281413120056e-05,4.293023924141365
15984,lhx1b,wnk2,-0.00067599805,0.00067599805,5.1556865260624935e-12,11.28771349631087
15985,vox,wnk2,0.00021922137,0.00021922137,0.00018584395924320642,3.730851550844708
15986,cux2b,wnk2,0.0006541987,0.0006541987,3.407150922048796e-10,9.467608628638963
15987,mnx2b,wnk2,-0.00027147317,0.00027147317,3.901788517699107e-06,5.408736273661473
15988,foxj1a,wnk2,-1.7489932e-05,1.7489932e-05,0.764041575003719,0.11688300882818164
15989,hmx2,wnk2,0.00019978438,0.00019978438,7.83743558004122e-05,4.105826015838752
15990,foxf1,wnk2,-1.8141842e-06,1.8141842e-06,0.971162421632709,0.012708130627647553
15991,hoxc11a,wnk2,-3.1847263e-05,3.1847263e-05,0.6555631761555087,0.18338544930778236
15992,hoxd12a,wnk2,-0.0002755022,0.0002755022,0.00016138734496308878,3.792130523072285
15993,nfic,wnk2,0.00042820364,0.00042820364,6.18549228857875e-10,9.208625730197321
15994,hoxc10a,wnk2,0.00018874845,0.00018874845,0.004682511261124454,2.329521169502468
15995,hoxd3a,wnk2,0.00022379326,0.00022379326,0.0037226812019980583,2.4291441537201544
15996,arxb,wnk2,-0.00027122785,0.00027122785,0.0005083133516648764,3.2938684827068476
15997,isl2b,wnk2,-0.00022292155,0.00022292155,0.005327185603033542,2.2735021718149295
15998,foxp1b,wnk2,-5.452168e-05,5.452168e-05,0.4637955158697519,0.33367345458211317
15999,ar,wnk2,0.00021460785,0.00021460785,7.236341557542173e-06,5.140480942495613
16000,lmx1al,wnk2,0.0001067649,0.0001067649,0.011502201395366745,1.9392190324841876
16001,lhx4,wnk2,0.0013593269,0.0013593269,1.0936278419545802e-15,14.961130441880869
16002,hoxb9a,wnk2,-0.0003498206,0.0003498206,1.3322139481503464e-05,4.875426023634409
16003,etv1,wnk2,0.00016575899,0.00016575899,0.0013485110058474375,2.8701455047103073
