,Gene
963,mylk5
972,mark2b
981,cnksr2a
982,kmt2ca
985,micall2a
987,rnf128a
990,hid1b
995,timm50
1001,pitx2
1013,si:dkey-262k9.2
1039,fam83e
1041,rnf144b
1044,anxa4
1045,RUNDC1
1050,csf3a
1051,zdhhc3a
1057,fzd3b
1062,ptges
1063,spag1a
1069,lpar6b
1073,npas4l
1076,lpar2b
1088,llgl2
1090,si:dkey-117n7.2
1093,nfixa
1095,lrata
1099,hoxb10a
1103,zgc:174164
1106,tlk1a
1131,arl15a
1132,ctslb.1
1135,klf12a
1142,hoxc5a
1143,bicc1a
1144,atp8b4
1147,numb
1172,fkbp11
1174,ttc7a
1176,ltb4r2a
1183,actn2b
1189,foxh1
1195,si:ch73-91k6.2
1204,utrn
1211,cldnc
1212,mtmr10
1219,ednrab
1237,crybg1b
1239,slc4a11
1256,si:dkey-102c8.3
1257,pltp
1263,CR854981.1
1266,tmprss4a
1268,si:dkey-25g12.4
1272,si:ch211-13k12.2
1277,mnx2b
1279,capn2a
1281,rbm47
1298,aplp1
1313,ptgs2a
1322,sik3
1328,tinagl1
1337,slc39a10
1350,fuca1.2
1356,col4a1
1378,tfap2c
1381,tbxtb
1385,tbc1d14
1392,creb3l2
1393,hdlbpa
1407,kdm6a
1409,ca8
1414,zgc:92242
1416,pth2ra
1422,mmel1
1424,stom
1428,klhl5
1437,cfap57
1438,dlg1l
1442,kera
1456,SLC9B2
1459,ogt.1.1
1470,cyp24a1
1481,tjp3
1488,arhgef28a
1496,depdc7a
1505,si:dkey-239j18.3
1524,asip1
1532,kcnj19a
1533,rassf6
1541,bmper
1542,FO082779.1
1547,grk3
1562,pla2g4aa
1575,cpt1cb
1579,kcnq2a
1583,alox12
1587,pstpip2
1592,ahcyl1
1624,dnah5
1632,gucy2c
1643,plekhn1
1657,mcm2
1662,si:dkey-205h13.1
1682,ttll10
1703,si:dkey-38p12.3
1706,bmp16
1712,lemd3
1713,antxr2a
1714,arl4aa
1717,sycp2
1721,lsr
1727,lmbr1l
1731,efnb2b
1739,prom1a
1745,aebp1
1749,triob
1751,noto
1757,suco
1778,arhgap5
1787,prxl2b
1788,msgn1
1791,slc39a6
1810,lpar3
1814,foxo1a
1826,ptpn3
1827,itpkcb
1830,sox7
1847,calhm5.1
1859,lrrc8db
1879,mespab
1882,gnai2b
1890,hhex
1894,mtus1b
1904,itgb1a
1906,ptbp1a
1915,mta3
1921,myo9ab
1922,sptlc2a
1924,krt4
1928,CU468041.2
1929,nhsa
1933,si:ch211-243g18.2
1939,lratb.1
1942,si:dkey-117n7.4
1944,b4galnt3b
1955,cyp26a1
1960,hoxa13b
1965,palm1a
1973,kdm7aa
1985,dixdc1b
1986,pitpnc1b
1989,itga6b
1992,F2RL3
1993,ubl3a
1994,sox10
1995,hpcal4
1998,sptbn1
2001,her7
2014,CABZ01027646.1
2015,CR846082.1
2027,nek8
2032,erlec1
2036,thbs2a
2037,si:dkey-103i16.6
2041,si:ch211-51c14.1
2055,ntf3
2056,si:ch211-202f3.3
2075,capn5a
2085,pkp3a
2086,pcdh18b
2089,reep3b
2093,crispld1a
2103,p3h3
2107,si:ch211-25d12.7
2114,ret
2117,slc7a9
2131,hnf1ba
2142,cyp2k16
2146,hoxd10a
2149,sdr16c5a
2151,dnase1l4.1
2174,mta1
2180,scin
2181,palm1b
2199,picalma
2202,akr1b1.1
2208,si:ch211-119e14.1
2211,abi3a
2220,si:dkey-16p21.7
2237,pdxdc1
2243,clcf1
2244,pkp2
2261,cyp2p7
2265,COLGALT1
2277,mob2a
2281,arhgap23a
2282,ripk4
2296,foxi1
2304,hnf4g
2306,znf532
2316,eif4a2
2327,cables2b
2328,gfpt1
2329,slitrk6
2331,kdm6bb
2341,ryr2b
2361,myo15aa
2365,rai14
2372,CABZ01053976.1
2373,pxna
2386,cntnap5l
2400,znf800b
2405,hpca
2406,bop1
2410,pkhd1l1
2413,ivns1abpa
2420,pkp1b
2427,zgc:101744
2430,prom2
2432,ved
2433,si:ch211-191i18.2
2434,cad
2443,pcmtd1
2445,elovl1b
2448,zbtb10
2449,mboat1
2451,slc22a23
2484,gria4a
2485,rhoub
2500,asap2b
2503,sbf1
2504,epb41l5
2511,pof1b
2515,clip2
2526,igf2a
2532,si:rp71-62i8.1
2535,ssx2ipa
2543,itih5
2547,sat1a.2
2552,dip2ba
2567,rapgef5b
2589,hoxa10b
2598,spata13
2605,rgl2
2614,slmapb
2615,ptprk
2620,rundc3aa
2626,foxa3
2629,rcor2
2632,si:dkey-12j5.1
2646,adgrb1a
2660,hyou1
2663,ulk1b
2685,si:ch211-170d8.2
2688,b4galnt4b
2689,pak2a
2693,si:dkey-117n7.5
2696,shc1
2708,cavin2a
2709,cacna2d4a.1
2715,bmp7a
2751,ptpn4b
2755,gabrb3
2762,angptl3
2764,trpm4a
2775,cobl
2783,syt3
2785,cldnh
2786,myo1eb
2787,foxp1a
2795,nbn
2801,SLC39A11
2803,pip5k1ca
2807,hnf4a
2830,gfi1aa
2838,rasef
2853,lnx1
2860,frmd4ba
2875,cpeb2
2895,slc1a6
2899,trpv4
2900,vcana
2901,gpr137c
2910,wdpcp
2933,dock7
2939,myf5
2946,kmt2a
2950,si:ch211-204c21.1
2965,tbxta
2990,gfpt2
