,gene,n_celltypes,celltypes,total_peaks,peaks_in_optic_cup_early,peaks_in_hatching_gland,peaks_in_unassigned,peaks_in_tail_bud_late,peaks_in_muscle,peaks_in_lateral_plate,peaks_in_PSM,peaks_in_enteric_neurons,peaks_in_hemangioblasts,peaks_in_floor_plate,peaks_in_diff_neurons,peaks_in_midbrain_hindbrain_boundary,peaks_in_NMPs,peaks_in_hematopoietic_vasculature,peaks_in_fast_muscle,peaks_in_neural,peaks_in_endoderm,peaks_in_heart_myocardium,peaks_in_hindbrain,peaks_in_notochord,peaks_in_epidermis,peaks_in_endo_pancreas,peaks_in_neural_crest
5989,ptprua,6,"optic_cup_early,unassigned,tail_bud_late,muscle,midbrain_hindbrain_boundary,notochord",28,2,0,12,8,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
7120,osbp,6,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,PSM,heart_myocardium",28,6,2,14,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8961,met,6,"optic_cup_early,unassigned,tail_bud_late,PSM,hematopoietic_vasculature,hindbrain",27,4,0,12,5,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
5753,agbl4,6,"optic_cup_early,unassigned,tail_bud_late,muscle,enteric_neurons,hematopoietic_vasculature",26,2,0,15,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9748,doc2b,6,"optic_cup_early,unassigned,tail_bud_late,muscle,PSM,fast_muscle",26,1,0,19,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2027,dpydb,6,"optic_cup_early,unassigned,tail_bud_late,neural,heart_myocardium,notochord",25,3,0,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
7081,CU062487.2,6,"optic_cup_early,unassigned,tail_bud_late,enteric_neurons,midbrain_hindbrain_boundary,notochord",25,2,0,19,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1913,clstn2,6,"optic_cup_early,unassigned,tail_bud_late,enteric_neurons,neural,notochord",24,1,0,18,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8032,tub,6,"optic_cup_early,unassigned,tail_bud_late,hemangioblasts,neural,endo_pancreas",23,4,0,12,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2172,diaph3,6,"optic_cup_early,unassigned,tail_bud_late,muscle,enteric_neurons,neural",22,5,0,13,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11343,erbb4b,6,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,hemangioblasts,fast_muscle",22,2,2,13,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5326,atrnl1a,6,"optic_cup_early,unassigned,tail_bud_late,PSM,hematopoietic_vasculature,neural_crest",20,3,0,12,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6561,sema5a,6,"optic_cup_early,unassigned,tail_bud_late,muscle,PSM,endoderm",20,3,0,11,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6903,cpe,6,"optic_cup_early,unassigned,tail_bud_late,muscle,enteric_neurons,hematopoietic_vasculature",20,5,0,9,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
8038,pard3bb,6,"optic_cup_early,unassigned,tail_bud_late,PSM,NMPs,hematopoietic_vasculature",20,6,0,7,3,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2444,kirrel3a,6,"optic_cup_early,unassigned,tail_bud_late,enteric_neurons,neural,notochord",19,3,0,9,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
7809,ptprga,6,"optic_cup_early,unassigned,tail_bud_late,enteric_neurons,hemangioblasts,floor_plate",19,4,0,7,3,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8374,robo1,6,"optic_cup_early,unassigned,tail_bud_late,PSM,hindbrain,notochord",19,2,0,5,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
752,ell,6,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,hemangioblasts,floor_plate",17,2,1,8,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6521,nrxn1a,6,"optic_cup_early,unassigned,tail_bud_late,muscle,enteric_neurons,hindbrain",17,4,0,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
6976,tenm1,6,"optic_cup_early,unassigned,tail_bud_late,PSM,midbrain_hindbrain_boundary,notochord",17,1,0,9,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
1508,ATP8A1,6,"optic_cup_early,unassigned,tail_bud_late,lateral_plate,midbrain_hindbrain_boundary,heart_myocardium",16,6,0,2,2,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2678,mdga1,6,"optic_cup_early,hatching_gland,unassigned,midbrain_hindbrain_boundary,fast_muscle,neural",16,3,1,9,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
3240,si:rp71-1h3.1,6,"optic_cup_early,unassigned,tail_bud_late,muscle,enteric_neurons,hematopoietic_vasculature",16,3,0,7,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1045,msi2b,6,"optic_cup_early,hatching_gland,unassigned,hemangioblasts,floor_plate,heart_myocardium",15,6,2,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7114,AL929378.2,6,"optic_cup_early,unassigned,tail_bud_late,floor_plate,fast_muscle,hindbrain",15,3,0,4,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0
782,gip,6,"optic_cup_early,unassigned,tail_bud_late,lateral_plate,floor_plate,notochord",14,3,0,6,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1403,brsk2b,6,"optic_cup_early,unassigned,tail_bud_late,floor_plate,neural,hindbrain",14,3,0,6,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2136,arvcfb,6,"optic_cup_early,unassigned,tail_bud_late,floor_plate,hindbrain,notochord",14,4,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
4478,sdk1b,6,"optic_cup_early,unassigned,tail_bud_late,muscle,midbrain_hindbrain_boundary,fast_muscle",14,2,0,8,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5720,ablim3,6,"unassigned,tail_bud_late,lateral_plate,enteric_neurons,fast_muscle,notochord",14,0,0,7,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6888,cadm1a,6,"unassigned,tail_bud_late,muscle,midbrain_hindbrain_boundary,hematopoietic_vasculature,notochord",14,0,0,4,4,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0
7078,syne1a,6,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,fast_muscle",14,1,1,8,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8353,fras1,6,"optic_cup_early,unassigned,tail_bud_late,muscle,notochord,endo_pancreas",14,3,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8860,CR848683.2,6,"optic_cup_early,unassigned,tail_bud_late,floor_plate,hematopoietic_vasculature,hindbrain",14,3,0,5,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
1283,ell2,6,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,hemangioblasts,floor_plate",13,1,1,5,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2615,dachd,6,"optic_cup_early,unassigned,enteric_neurons,floor_plate,neural,hindbrain",13,2,0,7,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
