cluster_id,peak_celltype,peak_timepoint,peak_accessibility,total_nodes,total_edges,total_tfs,tf_only,target_only,tf_and_target,active_timepoints,top_dynamic_tf,top_dynamic_score
13_1,enteric_neurons,30,7.489372153009881,0,0,0,0,0,0,0,,0
13_10,fast_muscle,30,4.80351306177925,5,4,4,4,1,0,2,nr2f5,2
13_12,neural_optic,00,56.47455531985289,41,60,28,27,13,1,6,sox11a,12
13_13,epidermis,20,8.763127459345057,3,2,2,2,1,0,2,rarga,2
13_14,neural_optic,00,45.561190753443626,0,0,0,0,0,0,0,,0
13_15,notochord,00,5.884455298882348,2,1,1,1,1,0,1,foxd3,1
13_16,neural_optic,00,9.39421385498388,0,0,0,0,0,0,0,,0
13_17,PSM,30,26.58549707772948,0,0,0,0,0,0,0,,0
13_18,neural_crest,30,2.5071276382203957,0,0,0,0,0,0,0,,0
13_2,hematopoietic_vasculature,20,78.86557521612394,17,27,9,9,8,0,5,fli1b,11
13_3,enteric_neurons,30,69.39958312996986,4,3,3,3,1,0,1,mef2cb,1
13_4,enteric_neurons,30,6.537568280224639,7,5,5,5,2,0,2,vox,2
13_5,PSM,30,6.45792745263276,0,0,0,0,0,0,0,,0
13_6,hatching_gland,10,68.39464837669775,2,1,1,1,1,0,2,pitx2,1
13_7,enteric_neurons,30,26.040509051832984,0,0,0,0,0,0,0,,0
13_8,optic_cup,05,24.3267567605678,2,1,1,1,1,0,1,egr2b,1
13_9,muscle,10,40.32724707852236,35,53,23,23,12,0,6,rxraa,18
14_0,pronephros,15,22.067500006407865,27,35,21,21,6,0,6,fli1a,9
14_1,heart_myocardium,15,44.177107204094334,61,149,31,28,30,3,6,raraa,32
14_2,pronephros,15,11.257003811402358,7,5,4,3,3,1,2,hnf1bb,3
14_3,endoderm,30,48.55037856881359,20,25,16,16,4,0,6,rxrab,10
14_4,pronephros,30,22.719739277449296,9,7,7,6,2,1,6,foxi3a,2
14_5,endoderm,30,78.82162770797906,14,13,11,9,3,2,4,nr5a2,4
14_6,endoderm,30,39.62579249361766,51,61,46,45,5,1,6,raraa,7
14_7,pronephros,15,10.067148231021832,0,0,0,0,0,0,0,,0
15_1,neural,30,4.317931576903958,3,2,2,2,1,0,1,sox6,1
15_11,hatching_gland,10,21.629076837075356,0,0,0,0,0,0,0,,0
15_12,epidermis,20,13.623202637316105,0,0,0,0,0,0,0,,0
15_14,fast_muscle,30,2.432444402555378,0,0,0,0,0,0,0,,0
15_2,fast_muscle,30,13.46009967192203,29,51,17,17,12,0,6,mef2d,14
15_4,enteric_neurons,30,19.308387858127347,0,0,0,0,0,0,0,,0
15_5,hemangioblasts,20,18.420456195209905,5,4,3,3,2,0,1,sox6,2
15_7,endocrine_pancreas,30,2.14111294647012,2,1,1,1,1,0,1,sox6,1
15_8,neural,30,5.582807505892468,0,0,0,0,0,0,0,,0
15_9,muscle,20,9.876439962119132,15,16,10,9,5,1,4,pax2a,6
16_0,enteric_neurons,30,5.545417628013989,3,2,2,2,1,0,2,foxd3,1
16_1,notochord,00,7.950274712319769,0,0,0,0,0,0,0,,0
16_2,notochord,05,3.832271849070605,0,0,0,0,0,0,0,,0
16_3,notochord,00,12.926841574670382,0,0,0,0,0,0,0,,0
17_0,notochord,15,48.553951690532365,3,2,2,2,1,0,3,nr3c2,2
17_1,hemangioblasts,05,5.894700213757679,0,0,0,0,0,0,0,,0
17_2,hatching_gland,15,12.528071594173015,0,0,0,0,0,0,0,,0
17_3,neural_floor_plate,05,7.668097463876285,8,9,4,4,4,0,5,etv5a,6
17_4,hematopoietic_vasculature,30,3.992919251271051,4,2,2,2,2,0,2,gata2a,2
17_5,neural,05,11.011509539321365,7,5,5,5,2,0,3,nr2f5,2
17_6,enteric_neurons,10,21.33282028850742,0,0,0,0,0,0,0,,0
17_7,tail_bud,10,12.124200918287016,51,122,32,32,19,0,6,meox1,36
17_8,lateral_plate_mesoderm,10,11.5594479352269,40,54,29,28,11,1,6,raraa,17
17_9,neural_posterior,10,9.87732385444565,21,18,10,10,11,0,6,egr2b,10
18_0,hatching_gland,15,28.55575042957844,14,13,10,10,4,0,4,rorab,6
18_1,hatching_gland,10,24.04882980822316,0,0,0,0,0,0,0,,0
18_10,hatching_gland,10,65.95478936687135,29,30,23,23,6,0,5,pitx2,8
18_11,hatching_gland,10,21.416602964617027,8,8,5,5,3,0,3,pitx2,4
18_12,hatching_gland,10,24.31499344794154,0,0,0,0,0,0,0,,0
18_2,hatching_gland,10,47.471110899812686,0,0,0,0,0,0,0,,0
18_3,hatching_gland,10,81.34402694111763,17,14,12,12,5,0,5,pitx2,4
18_4,hatching_gland,15,60.97578901779315,13,12,11,11,2,0,5,rorab,6
18_5,hatching_gland,15,59.48766192559415,0,0,0,0,0,0,0,,0
18_6,hatching_gland,10,89.01483863810151,5,4,4,4,1,0,1,mafa,1
18_7,hatching_gland,15,116.40975400423882,10,7,4,4,6,0,5,pitx2,9
18_8,hatching_gland,10,30.270030312536,4,2,2,2,2,0,3,bcl11ab,2
18_9,hatching_gland,15,94.75809584516333,45,61,30,30,15,0,6,rorab,18
19_0,endoderm,30,3.578767868118492,0,0,0,0,0,0,0,,0
19_10,notochord,10,5.634646641992463,6,5,3,3,3,0,3,foxd2,6
19_11,enteric_neurons,30,15.810971753044171,0,0,0,0,0,0,0,,0
19_12,lateral_plate_mesoderm,30,2.0140155274065386,2,1,1,1,1,0,1,sox21a,1
19_13,enteric_neurons,30,20.64646031188655,8,6,6,6,2,0,2,pnx,1
19_14,epidermis,15,13.313156302319545,6,3,3,3,3,0,4,pax6b,2
19_16,notochord,10,12.26975481072666,0,0,0,0,0,0,0,,0
19_2,notochord,10,2.955765845403535,0,0,0,0,0,0,0,,0
19_6,muscle,10,11.212760576939198,4,2,2,2,2,0,3,cdx4,2
19_7,hatching_gland,10,22.16600651838899,0,0,0,0,0,0,0,,0
19_8,notochord,05,7.37979392600198,0,0,0,0,0,0,0,,0
19_9,hematopoietic_vasculature,20,15.39723121353482,5,4,4,4,1,0,4,etv2,2
1_1,endoderm,30,2.3059219332971943,0,0,0,0,0,0,0,,0
1_10,PSM,30,9.113582443737489,2,1,1,1,1,0,1,ctcf,1
1_13,endocrine_pancreas,30,2.5488698875968607,0,0,0,0,0,0,0,,0
1_2,neural_crest,20,5.009548734676569,11,9,8,8,3,0,3,foxg1a,3
1_3,epidermis,10,10.998493570637107,9,8,5,5,4,0,5,foxd3,7
1_4,hematopoietic_vasculature,20,8.496773195546297,6,5,5,5,1,0,1,fli1b,1
1_5,PSM,30,13.774907386535617,7,5,5,5,2,0,4,neurod4,4
1_6,differentiating_neurons,30,11.949840965621563,0,0,0,0,0,0,0,,0
1_7,PSM,30,5.184069071643922,2,1,1,1,1,0,1,sox6,1
1_8,PSM,30,25.876294920645133,0,0,0,0,0,0,0,,0
1_9,epidermis,15,1.558588531727771,5,4,4,4,1,0,3,sox9b,2
20_0,notochord,05,5.59796900326654,0,0,0,0,0,0,0,,0
20_2,enteric_neurons,30,3.5738819524558343,0,0,0,0,0,0,0,,0
20_3,notochord,10,8.422384201550292,2,1,1,1,1,0,1,pax6b,1
20_4,floor_plate,30,17.172256411564415,14,13,11,11,3,0,5,nr2f5,4
21_0,PSM,10,126.95898791501678,83,226,30,28,53,2,6,rarga,68
21_1,tail_bud,15,126.29195214049508,31,37,21,20,10,1,6,meox1,19
21_2,tail_bud,10,21.34599445991641,43,66,30,30,13,0,6,meox1,20
21_3,PSM,10,118.93008059353,83,192,39,38,44,1,6,meox1,62
21_4,spinal_cord,10,51.87372409276934,72,134,53,53,19,0,6,hoxb3a,20
21_5,spinal_cord,30,57.217315637610895,31,47,21,20,10,1,6,sox13,12
21_6,tail_bud,10,51.14960751886458,123,370,76,70,47,6,6,meox1,82
22_0,endocrine_pancreas,30,6.152735446064669,7,6,6,6,1,0,6,raraa,4
22_1,epidermis,20,16.658396857852797,52,136,26,24,26,2,6,rarga,36
22_11,hatching_gland,10,24.66482923018993,11,10,8,8,3,0,3,rorab,4
22_12,differentiating_neurons,30,3.010835550085115,4,3,3,3,1,0,2,foxa,2
22_13,pronephros,15,6.1402624286040455,3,2,1,1,2,0,1,etv5a,2
22_14,epidermis,20,8.130354668694686,8,7,4,4,4,0,5,pax6b,5
22_15,enteric_neurons,30,5.016828293004115,5,4,4,4,1,0,3,rorab,2
22_16,muscle,10,20.544282153471677,46,77,29,28,17,1,6,rarab,18
22_2,PSM,30,9.444847646035472,0,0,0,0,0,0,0,,0
22_4,hematopoietic_vasculature,20,31.477564790677807,14,25,7,6,7,1,4,sox7,12
22_5,pharyngeal_arches,30,32.161199506671494,15,15,10,10,5,0,3,raraa,6
22_6,epidermis,20,23.190360297682677,26,28,18,18,8,0,5,rxraa,9
22_7,enteric_neurons,30,3.756897009363109,0,0,0,0,0,0,0,,0
22_8,enteric_neurons,30,35.455564305315775,9,8,8,8,1,0,2,lbx1b,2
22_9,enteric_neurons,30,23.66026531140489,5,4,4,4,1,0,3,six4b,2
23_0,hemangioblasts,30,717.0976123423787,23,41,17,17,6,0,5,sox11b,12
23_1,hemangioblasts,30,511.7858586554552,13,13,5,5,8,0,4,egr2b,11
23_2,hemangioblasts,30,420.41130812708695,2,1,1,1,1,0,1,xbp1,1
23_3,hindbrain,30,432.9475615882751,37,60,24,23,13,1,6,sox13,16
23_4,hemangioblasts,30,357.93742588580113,2,1,1,1,1,0,1,xbp1,1
24_0,hematopoietic_vasculature,30,3.152351512984336,3,2,2,2,1,0,1,sox6,1
24_1,neural,20,10.301022927865496,5,4,4,4,1,0,2,zic2b,2
24_10,notochord,10,6.773281854845954,2,1,1,1,1,0,1,gata2a,1
24_11,lateral_plate_mesoderm,30,4.673385314826525,0,0,0,0,0,0,0,,0
24_13,differentiating_neurons,30,17.41266983267787,0,0,0,0,0,0,0,,0
24_14,neural,30,3.803317321225976,0,0,0,0,0,0,0,,0
24_15,fast_muscle,20,19.28426644360777,2,1,1,1,1,0,1,nr2f1b,1
24_2,hematopoietic_vasculature,20,21.09164967400744,0,0,0,0,0,0,0,,0
24_4,hatching_gland,15,33.14513429639475,11,12,6,6,5,0,3,pitx2,8
24_6,epidermis,15,9.898855893310516,0,0,0,0,0,0,0,,0
24_7,endocrine_pancreas,30,1.7527794405913444,5,4,4,4,1,0,1,gata5,1
24_9,neural_floor_plate,30,16.06355463522814,18,16,13,13,5,0,5,hoxb3a,4
25_0,hematopoietic_vasculature,20,63.53431257317501,21,34,5,5,16,0,4,fli1a,24
25_1,hematopoietic_vasculature,20,55.88940339683086,61,107,23,20,38,3,6,fli1a,40
25_10,hematopoietic_vasculature,30,100.69020535572776,11,11,8,7,3,1,4,nr2f5,4
25_11,hematopoietic_vasculature,20,14.779178753391058,8,7,5,5,3,0,4,fli1b,3
25_12,hematopoietic_vasculature,20,12.816337992986687,25,40,13,12,12,1,4,sox7,15
25_2,hemangioblasts,30,95.28459292261894,20,20,7,7,13,0,4,gata1a,11
25_3,hematopoietic_vasculature,30,98.68499509352004,73,119,39,38,34,1,6,fli1a,30
25_4,hemangioblasts,30,60.18246414650664,5,4,4,4,1,0,1,gsx2,1
25_5,hematopoietic_vasculature,20,48.304140401567295,11,18,5,5,6,0,4,fli1a,8
25_6,hematopoietic_vasculature,20,48.26400402122944,23,29,12,12,11,0,4,fli1b,14
25_7,hematopoietic_vasculature,20,24.025062083953586,31,38,15,13,16,2,5,fli1a,18
25_8,hematopoietic_vasculature,20,20.24127647627101,7,6,5,5,2,0,4,fli1b,3
25_9,hemangioblasts,20,62.07018296216525,56,70,36,35,20,1,5,fli1a,13
26_0,lateral_plate_mesoderm,30,134.64591671234734,106,280,39,35,67,4,6,rarga,82
26_1,hemangioblasts,10,73.9561939825069,11,10,3,3,8,0,5,xbp1,14
26_10,neural_floor_plate,30,123.30134493256811,89,267,41,38,48,3,6,sox13,44
26_11,hemangioblasts,15,199.4635412593281,28,42,11,9,17,2,4,fli1a,19
26_12,hemangioblasts,30,178.00732994776,9,7,2,2,7,0,4,xbp1,11
26_2,hemangioblasts,30,281.97238928695526,8,7,3,3,5,0,4,egr2b,6
26_3,neural_optic,00,107.99871719421576,112,337,48,44,64,4,6,sox13,58
26_4,neural_posterior,30,436.0384463859523,93,313,45,39,48,6,6,sox13,56
26_5,epidermis,00,167.69837876272604,86,198,43,42,43,1,6,rarga,38
26_6,tail_bud,15,242.6243571015937,118,412,64,59,54,5,6,rarab,70
26_7,endocrine_pancreas,10,54.29205489696865,84,147,48,47,36,1,6,meox1,42
26_8,neural_floor_plate,30,209.38975409103944,163,677,54,41,109,13,6,sox13,98
26_9,hemangioblasts,20,113.57504707136248,43,72,10,10,33,0,5,fli1a,35
27_0,pronephros,20,11.416533426190217,0,0,0,0,0,0,0,,0
27_1,notochord,20,8.460171130302113,0,0,0,0,0,0,0,,0
27_3,fast_muscle,30,8.94600393628512,0,0,0,0,0,0,0,,0
27_4,neural,30,3.087979469670976,0,0,0,0,0,0,0,,0
27_5,fast_muscle,10,6.9118962647404025,0,0,0,0,0,0,0,,0
28_0,enteric_neurons,30,60.88846569879189,27,26,15,15,12,0,6,hmx3a,6
28_1,enteric_neurons,30,75.24530201239196,0,0,0,0,0,0,0,,0
28_10,enteric_neurons,30,86.47149490673245,12,9,6,6,6,0,3,egr4,3
28_11,enteric_neurons,30,85.43230379240624,48,48,37,37,11,0,6,en2b,6
28_12,enteric_neurons,30,63.15962090681134,9,8,8,8,1,0,3,sox5,2
28_2,enteric_neurons,30,73.98409891718678,26,23,21,21,5,0,4,hmx3a,3
28_3,enteric_neurons,30,79.15296697185806,14,12,11,11,3,0,5,pnx,4
28_4,enteric_neurons,30,73.25368404378223,0,0,0,0,0,0,0,,0
28_5,enteric_neurons,30,59.61791979866158,0,0,0,0,0,0,0,,0
28_6,enteric_neurons,30,83.8158431384671,7,6,5,5,2,0,2,sox6,2
28_7,enteric_neurons,30,69.48146385052492,12,9,9,9,3,0,5,mnx2b,2
28_8,enteric_neurons,30,75.40838973723199,0,0,0,0,0,0,0,,0
28_9,enteric_neurons,30,63.32371698145948,3,2,2,2,1,0,1,hmx3a,1
29_0,PSM,30,7.576443106392237,0,0,0,0,0,0,0,,0
29_1,PSM,30,7.49967700904808,0,0,0,0,0,0,0,,0
29_12,hemangioblasts,20,13.180990407361016,8,9,5,5,3,0,4,fli1b,4
29_13,PSM,30,7.091521043321996,2,1,1,1,1,0,1,meox1,1
29_14,PSM,30,4.646902960274261,0,0,0,0,0,0,0,,0
29_15,hatching_gland,10,16.231596649650882,0,0,0,0,0,0,0,,0
29_16,enteric_neurons,30,12.31789684367007,0,0,0,0,0,0,0,,0
29_17,PSM,30,6.740306984470184,0,0,0,0,0,0,0,,0
29_18,PSM,30,21.92597896446007,8,8,3,3,5,0,5,lef1,8
29_19,PSM,30,17.061436869570617,24,26,13,13,11,0,6,pax6b,10
29_2,PSM,30,7.114490995385746,0,0,0,0,0,0,0,,0
29_3,PSM,30,11.272859862642369,26,33,20,20,6,0,6,sox13,14
29_4,enteric_neurons,30,18.45358122889417,0,0,0,0,0,0,0,,0
29_6,fast_muscle,30,19.332679102834533,5,3,3,3,2,0,2,ar,2
29_7,epidermis,15,20.07577905519744,11,11,9,9,2,0,5,rxraa,5
29_8,neural_telencephalon,30,19.973428408482366,0,0,0,0,0,0,0,,0
2_0,enteric_neurons,30,22.18911861907776,0,0,0,0,0,0,0,,0
2_1,enteric_neurons,30,20.44517601453041,0,0,0,0,0,0,0,,0
2_11,enteric_neurons,30,27.347320953468103,4,2,2,2,2,0,2,mafbb,2
2_12,enteric_neurons,30,23.412246686722657,0,0,0,0,0,0,0,,0
2_13,enteric_neurons,30,21.43692028148184,17,16,14,14,3,0,5,rxraa,4
2_14,enteric_neurons,30,23.379091583497104,4,3,3,3,1,0,1,dmbx1a,1
2_15,PSM,30,29.304854400847603,0,0,0,0,0,0,0,,0
2_16,enteric_neurons,30,19.10904563014952,0,0,0,0,0,0,0,,0
2_17,enteric_neurons,30,31.87071566252824,0,0,0,0,0,0,0,,0
2_18,enteric_neurons,30,19.094402619431555,0,0,0,0,0,0,0,,0
2_19,enteric_neurons,30,19.40682246145153,0,0,0,0,0,0,0,,0
2_2,enteric_neurons,30,27.82081764227393,51,73,43,41,8,2,6,sox13,12
2_3,enteric_neurons,30,21.522431952619268,0,0,0,0,0,0,0,,0
2_5,enteric_neurons,30,28.45348700141949,8,7,5,5,3,0,2,jun,4
2_6,enteric_neurons,30,20.028621002075475,0,0,0,0,0,0,0,,0
2_7,enteric_neurons,30,26.32379343752332,0,0,0,0,0,0,0,,0
2_8,enteric_neurons,30,21.62704746595518,0,0,0,0,0,0,0,,0
2_9,enteric_neurons,30,20.288117287728763,0,0,0,0,0,0,0,,0
30_0,enteric_neurons,30,31.072792130090683,2,1,1,1,1,0,1,nkx2.7,1
30_1,enteric_neurons,30,32.07598855076618,0,0,0,0,0,0,0,,0
30_2,enteric_neurons,30,31.30514693466154,0,0,0,0,0,0,0,,0
30_5,enteric_neurons,30,31.146086411237917,0,0,0,0,0,0,0,,0
30_6,enteric_neurons,30,31.21488771854269,0,0,0,0,0,0,0,,0
31_0,enteric_neurons,30,19.20092480818653,0,0,0,0,0,0,0,,0
31_1,enteric_neurons,30,12.417161946439572,11,9,9,9,2,0,4,nr2f5,2
31_3,PSM,30,16.008009391018106,2,1,1,1,1,0,1,ctcf,1
31_5,PSM,30,9.306915027351565,0,0,0,0,0,0,0,,0
31_6,tail_bud,20,17.06158967728748,9,8,8,8,1,0,4,raraa,3
31_7,enteric_neurons,30,18.385529965338357,0,0,0,0,0,0,0,,0
32_0,notochord,00,10.099858545894444,6,5,3,3,3,0,2,egr2a,2
32_1,notochord,05,5.607221844594253,0,0,0,0,0,0,0,,0
32_10,hatching_gland,10,10.114297055937362,0,0,0,0,0,0,0,,0
32_12,endoderm,30,4.087381133349298,0,0,0,0,0,0,0,,0
32_13,epidermis,10,22.653490799901878,19,19,15,15,4,0,5,rxraa,9
32_14,enteric_neurons,30,2.324318002537056,6,5,5,5,1,0,2,foxf1,1
32_15,enteric_neurons,30,31.30159573998309,11,8,8,8,3,0,3,hoxa4a,2
32_2,neural,30,3.966380794349662,0,0,0,0,0,0,0,,0
32_4,PSM,30,7.461911520349965,0,0,0,0,0,0,0,,0
32_5,enteric_neurons,30,20.91184831677517,0,0,0,0,0,0,0,,0
32_6,neural_crest,20,14.39659887076301,10,8,8,8,2,0,3,sox6,2
32_7,hemangioblasts,30,23.928995392340664,0,0,0,0,0,0,0,,0
32_9,NMPs,15,39.057280601160215,0,0,0,0,0,0,0,,0
33_0,notochord,10,14.368930774766968,0,0,0,0,0,0,0,,0
33_1,neural_optic,20,37.890636933389096,160,595,47,38,113,9,6,sox13,104
33_2,lateral_plate_mesoderm,30,68.09751923641916,79,170,31,28,48,3,6,rarga,62
33_3,notochord,00,20.674622774222005,2,1,1,1,1,0,1,ctcf,1
33_4,fast_muscle,10,50.303448650353296,90,229,28,25,62,3,6,rxraa,68
33_5,heart_myocardium,10,68.70639644653797,90,225,42,38,48,4,6,raraa,50
33_6,endocrine_pancreas,10,35.896326212497215,20,22,5,5,15,0,6,xbp1,18
33_7,neural_crest,15,88.04706428226784,66,133,33,31,33,2,6,rxraa,26
33_8,differentiating_neurons,15,57.788404960943645,30,41,20,20,10,0,6,sox11a,9
34_0,neural_crest,20,42.99154149174348,18,21,14,14,4,0,5,sox6,4
34_1,neural_crest,20,46.71509904395065,16,15,12,11,4,1,5,nr2f5,6
34_2,neural_crest,20,32.91622683444104,16,18,11,11,5,0,5,rxraa,8
34_3,neural_crest,15,42.97898808863074,28,32,22,22,6,0,6,sox6,6
34_4,neural_crest,15,57.12204446188675,7,6,6,6,1,0,3,sox6,2
35_0,optic_cup,30,14.5013931682355,0,0,0,0,0,0,0,,0
35_1,epidermis,10,12.1085209382287,0,0,0,0,0,0,0,,0
35_11,endocrine_pancreas,30,3.579224201901108,0,0,0,0,0,0,0,,0
35_12,endoderm,30,2.820406087566624,11,11,9,9,2,0,4,sox6,4
35_14,neural_crest,15,4.172103532870274,2,1,1,1,1,0,1,xbp1,1
35_15,muscle,10,10.880764745778237,10,11,8,8,2,0,5,meox1,5
35_3,enteric_neurons,30,16.553921552764507,0,0,0,0,0,0,0,,0
35_4,hatching_gland,10,20.40399240685038,0,0,0,0,0,0,0,,0
35_5,hematopoietic_vasculature,20,10.415829914588748,10,7,6,6,4,0,3,sox7,3
35_8,notochord,00,9.25283278217542,3,2,1,1,2,0,2,egr1,3
35_9,endoderm,30,5.538778906623373,4,3,3,3,1,0,3,bcl11ab,2
3_0,midbrain_hindbrain_boundary,30,37.08941860937371,26,32,22,21,4,1,6,nr2f5,6
3_1,optic_cup,20,13.477837311077325,30,40,28,26,2,2,5,rorb,8
3_10,optic_cup,20,14.20088639324802,12,11,11,11,1,0,3,rorb,3
3_2,hindbrain,15,36.432057054904334,31,57,18,16,13,2,6,pax6a,18
3_3,neural_optic,20,43.191519782316426,6,3,3,3,3,0,2,sox13,2
3_4,neural_telencephalon,30,13.384854618616613,10,8,8,8,2,0,6,vax1,4
3_5,optic_cup,30,71.25004473848227,56,105,41,39,15,2,5,nr2f5,18
3_6,hindbrain,15,62.8306995194006,20,21,17,16,3,1,6,mafba,4
3_7,optic_cup,30,67.67074122307342,48,118,31,30,17,1,5,nr2f5,24
3_8,neural_telencephalon,30,59.95199233568785,79,126,68,67,11,1,6,pax6a,16
3_9,neural_floor_plate,30,70.63072880158983,87,191,62,61,25,1,6,sox13,28
4_0,hatching_gland,15,6.722939518484787,0,0,0,0,0,0,0,,0
4_1,hatching_gland,15,6.264737178320087,0,0,0,0,0,0,0,,0
4_2,muscle,10,8.06165624107173,0,0,0,0,0,0,0,,0
4_3,neural,30,2.8233239268875754,0,0,0,0,0,0,0,,0
4_4,endocrine_pancreas,30,1.8163627258473836,4,3,3,3,1,0,1,foxd3,1
5_0,hatching_gland,15,89.47989596616237,3,2,2,2,1,0,2,six4b,2
5_1,enteric_neurons,00,43.38637807693633,29,30,23,23,6,0,5,dlx3b,5
5_2,epidermis,15,47.25761533754972,31,51,21,20,10,1,6,rarga,16
5_3,epidermis,10,31.22203758225944,26,42,11,11,15,0,6,rarga,18
5_4,epidermis,10,22.76027722357236,7,4,3,3,4,0,4,tead1b,3
5_5,epidermis,10,13.68650750609525,40,54,29,29,11,0,5,sox6,14
5_6,epidermis,00,42.47104261717052,45,75,28,27,17,1,6,sox6,24
5_7,epidermis,15,80.37485576885483,10,7,4,4,6,0,5,tead1b,8
5_8,epidermis,15,90.27394347982305,54,132,29,28,25,1,6,rarga,44
5_9,epidermis,10,22.84023538815681,8,9,5,5,3,0,5,sox6,8
6_1,hematopoietic_vasculature,30,4.5302922308519005,0,0,0,0,0,0,0,,0
6_2,fast_muscle,30,21.42610586580575,0,0,0,0,0,0,0,,0
6_3,hindbrain,30,10.326692923983376,0,0,0,0,0,0,0,,0
6_4,endoderm,30,4.888257989287114,2,1,1,1,1,0,1,lhx2b,1
6_5,notochord,05,7.223675583469695,2,1,1,1,1,0,3,dmrt2a,1
7_1,endocrine_pancreas,30,1.1396734107190034,0,0,0,0,0,0,0,,0
7_10,endocrine_pancreas,30,1.6942594398037891,0,0,0,0,0,0,0,,0
7_11,differentiating_neurons,30,9.698387351703106,0,0,0,0,0,0,0,,0
7_12,neural_crest,30,5.661031286927738,2,1,1,1,1,0,1,sox3,1
7_13,endoderm,30,1.7632721242252103,8,7,7,7,1,0,3,sox3,3
7_2,hatching_gland,15,2.74730672437104,2,1,1,1,1,0,1,gfi1b,1
7_3,neural_crest,20,10.43063858401775,6,3,3,3,3,0,2,sox10,2
7_4,differentiating_neurons,30,4.251003623868016,38,47,24,24,14,0,6,nr2f1b,10
7_5,endoderm,30,16.990560301790783,0,0,0,0,0,0,0,,0
7_6,tail_bud,05,2.826709851093785,18,16,13,13,5,0,6,sox5,9
7_7,muscle,20,6.24047392893382,9,6,5,5,4,0,3,foxd3,3
7_9,lateral_plate_mesoderm,30,1.8446200410799205,0,0,0,0,0,0,0,,0
8_0,lateral_plate_mesoderm,00,15.408294594349188,3,2,2,2,1,0,2,egr2a,2
8_1,notochord,10,23.88086457520709,0,0,0,0,0,0,0,,0
8_2,neural,20,19.723285430329334,10,6,5,5,5,0,4,raraa,3
8_3,neural_optic,00,18.64575796421796,0,0,0,0,0,0,0,,0
