cluster_id,peak_celltype,peak_timepoint,n_celltypes,n_total_tfs,most_ubiquitous_tf,most_specific_tf
33_8,differentiating_neurons,15,32,18,sox5,olig2
34_0,neural_crest,20,24,16,sox10,nr5a2
34_1,neural_crest,20,31,14,rarga,ar
34_2,neural_crest,20,17,8,sox5,esrrga
34_3,neural_crest,15,32,16,sox13,raraa
34_4,neural_crest,15,23,5,nr4a2b,rarga
35_0,optic_cup,30,0,0,,
35_1,epidermis,10,0,0,,
35_11,endocrine_pancreas,30,0,0,,
35_12,endoderm,30,0,0,,
35_14,neural_crest,15,0,0,,
35_15,muscle,10,14,11,hoxb3a,barhl1a
35_3,enteric_neurons,30,0,0,,
35_4,hatching_gland,10,0,0,,
35_5,hematopoietic_vasculature,20,4,7,sox6,fli1a
35_8,notochord,00,1,1,egr1,egr1
35_9,endoderm,30,5,3,bcl11ab,bcl11ab
3_0,midbrain_hindbrain_boundary,30,31,14,nr2f1b,pax6a
3_1,optic_cup,20,31,40,pax6b,vax1
3_10,optic_cup,20,31,24,nr2f1b,nkx2.4a
3_2,hindbrain,15,32,19,sox11a,sox8a
3_3,neural_optic,20,19,8,hoxb3a,vax1
3_4,neural_telencephalon,30,16,5,nr2f1b,raraa
3_5,optic_cup,30,31,41,nr2f1b,vax1
3_6,hindbrain,15,31,14,sox13,nr4a2a
3_7,optic_cup,30,31,22,nr2f1b,foxi3a
3_8,neural_telencephalon,30,31,61,hoxb3a,sox21a
3_9,neural_floor_plate,30,31,62,nr2f1b,hoxb5b
4_0,hatching_gland,15,0,0,,
4_1,hatching_gland,15,0,0,,
4_2,muscle,10,0,0,,
4_3,neural,30,0,0,,
4_4,endocrine_pancreas,30,0,0,,
5_0,hatching_gland,15,12,2,six1b,six2a
5_1,enteric_neurons,00,30,24,rx3,hmx4
5_2,epidermis,15,32,19,raraa,gcm2
5_3,epidermis,10,32,12,nr2f5,tead1b
5_4,epidermis,10,28,3,tead1b,nr3c2
5_5,epidermis,10,30,27,tead1b,foxf2a
5_6,epidermis,00,30,28,sox32,sox1a
5_7,epidermis,15,8,2,grhl1,tead1b
5_8,epidermis,15,32,28,raraa,egr4
5_9,epidermis,10,10,8,pitx1,zgc:101100
6_1,hematopoietic_vasculature,30,1,4,sox10,sox10
6_2,fast_muscle,30,0,0,,
6_3,hindbrain,30,4,3,nr2f1b,nr5a1b
6_4,endoderm,30,0,0,,
6_5,notochord,05,20,1,dmrt2a,dmrt2a
7_1,endocrine_pancreas,30,1,1,hoxc13b,hoxc13b
