	leiden_v1_r0.5	leiden_v2_r0.7	celltype1	celltype2	manual_annotation
slc3a2a	6	5	notochord	muscle	unassigned
dab2ipb	1	0	notochord	differentiating_neurons	unassigned
lrrc4cb	0	1	differentiating_neurons	neural_optic	unassigned
sorl1	1	0	hatching_gland	fast_muscle	unassigned
vegfaa	5	3	endocrine_pancreas	lateral_plate_mesoderm	unassigned
eml1	0	2	enteric_neurons	neural_posterior	unassigned
smyhc1	6	5	muscle	PSM	unassigned
hivep2a	3	4	PSM	muscle	unassigned
grb10b	1	0	pharyngeal_arches	lateral_plate_mesoderm	unassigned
UNC5C	5	3	muscle	neural	unassigned
spire1a	1	0	PSM	endoderm	unassigned
pou3f1	0	2	neural_floor_plate	hindbrain	unassigned
ank2a	6	5	muscle	differentiating_neurons	unassigned
gfpt2	2	6	hatching_gland	pharyngeal_arches	unassigned
rnf220b	0	1	differentiating_neurons	endoderm	unassigned
si:ch211-113a14.19.4	1	11	pronephros	tail_bud	unassigned
sec61a1l	1	0	hatching_gland	notochord	unassigned
prickle1b	3	4	NMPs	PSM	unassigned
map6a	0	1	enteric_neurons	differentiating_neurons	unassigned
b4galt5	2	6	hatching_gland	endoderm	unassigned
foxl2a	5	3	lateral_plate_mesoderm	hatching_gland	unassigned
lrrc17	3	4	NMPs	notochord	unassigned
he1.2	2	6	hatching_gland	fast_muscle	unassigned
syt10	3	4	enteric_neurons	hatching_gland	unassigned
arfip2b	2	6	hatching_gland	fast_muscle	unassigned
si:ch211-163c2.2	4	1	PSM	muscle	unassigned
hspa1b	2	6	hatching_gland	hematopoietic_vasculature	unassigned
taar16a	7	8	neurons	tail_bud	unassigned
arpc1b	4	2	somites	notochord	unassigned
nr2e1	0	2	neural_telencephalon	neural_optic	unassigned
sst6	8	10	notochord	NMPs	unassigned
smtnl	5	3	heart_myocardium	epidermis	unassigned
pyya	4	2	hatching_gland	differentiating_neurons	unassigned
ppox	4	7	hemangioblasts	midbrain_hindbrain_boundary	unassigned
si:ch73-248e21.5	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
susd1	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
spic	7	8	muscle	somites	unassigned
cfap99	7	13	NMPs	pronephros	unassigned
dhrs11a	1	0	neural_posterior	neurons	unassigned
xirp2a	5	3	hematopoietic_vasculature	pharyngeal_arches	unassigned
or137-8	2	6	endoderm	pronephros	unassigned
