	leiden_v1_r0.5	leiden_v2_r0.7	celltype1	celltype2	manual_annotation
prdx2	1	11	hemangioblasts	heart_myocardium	unassigned
nkx2.5	5	3	heart_myocardium	pharyngeal_arches	unassigned
si:dkey-261l7.2	2	6	hatching_gland	hematopoietic_vasculature	unassigned
mmp2	5	3	pharyngeal_arches	somites	unassigned
CR936977.2	6	5	muscle	fast_muscle	unassigned
rapgef3	4	7	muscle	hemangioblasts	unassigned
GRM7	0	1	hatching_gland	enteric_neurons	unassigned
id4	0	2	differentiating_neurons	enteric_neurons	unassigned
nid2a	1	0	tail_bud	NMPs	unassigned
zgc:162239	4	7	hematopoietic_vasculature	epidermis	unassigned
rnf24	1	0	notochord	somites	unassigned
si:ch211-250c4.4	5	3	heart_myocardium	endocrine_pancreas	unassigned
zfpm2b	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
eva1a	5	3	endoderm	pronephros	unassigned
esyt2b	6	5	muscle	heart_myocardium	unassigned
dhrs13b.2	7	8	somites	fast_muscle	unassigned
gdf11	8	10	NMPs	notochord	unassigned
magi1b	1	0	endocrine_pancreas	PSM	unassigned
cfap157	0	3	floor_plate	spinal_cord	unassigned
nkd1	1	0	hindbrain	midbrain_hindbrain_boundary	unassigned
foxq2	8	10	neural_telencephalon	optic_cup	unassigned
man2a1	1	0	hatching_gland	muscle	unassigned
lnx1	1	0	neural_posterior	midbrain_hindbrain_boundary	unassigned
kcnc3a	3	4	NMPs	enteric_neurons	unassigned
shoc1	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
kpna2	1	11	midbrain_hindbrain_boundary	floor_plate	unassigned
emp3b	7	8	heart_myocardium	neural_crest	unassigned
rasl11b	3	4	neural_telencephalon	notochord	unassigned
pkd1l2a	0	1	hemangioblasts	tail_bud	unassigned
kcnd2	3	4	muscle	PSM	unassigned
CU928117.1	1	0	notochord	endoderm	unassigned
foxf1	5	3	pharyngeal_arches	hematopoietic_vasculature	unassigned
cldng	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
sh3pxd2aa	5	3	lateral_plate_mesoderm	heart_myocardium	unassigned
gng2	0	2	differentiating_neurons	enteric_neurons	unassigned
slc4a7	1	0	pharyngeal_arches	hematopoietic_vasculature	unassigned
arid3c	3	4	PSM	pronephros	unassigned
nkx2.2b	7	8	neural_telencephalon	floor_plate	unassigned
inpp4b	6	5	muscle	fast_muscle	unassigned
ccdc88b	0	1	enteric_neurons	heart_myocardium	unassigned
NAV1	3	4	heart_myocardium	neurons	unassigned
CABZ01112656.1	2	6	notochord	tail_bud	unassigned
pcdh18a	0	2	midbrain_hindbrain_boundary	differentiating_neurons	unassigned
arvcfb	0	2	notochord	neural_posterior	unassigned
cdk15	2	6	muscle	PSM	unassigned
CU570881.2	7	8	notochord	pronephros	unassigned
itgb1b.1	2	9	endoderm	endocrine_pancreas	unassigned
adgrl2a	1	11	muscle	neural_floor_plate	unassigned
cables2b	3	4	PSM	tail_bud	unassigned
myh7	0	2	heart_myocardium	pharyngeal_arches	unassigned
wscd2	8	10	enteric_neurons	notochord	unassigned
pdlim4	1	3	endoderm	pronephros	unassigned
gdpd5b	3	4	muscle	hematopoietic_vasculature	unassigned
mab21l2	0	2	midbrain_hindbrain_boundary	optic_cup	unassigned
tmprss4a	2	9	endocrine_pancreas	epidermis	unassigned
tpd52l1	4	7	hematopoietic_vasculature	endocrine_pancreas	unassigned
hnf4a	2	6	hatching_gland	endocrine_pancreas	unassigned
myo1ca	2	6	hatching_gland	epidermis	unassigned
hesx1	3	4	neural_optic	neural_telencephalon	unassigned
col5a3b	2	9	epidermis	pharyngeal_arches	unassigned
rspo1	1	0	lateral_plate_mesoderm	somites	unassigned
rrbp1a	1	0	hatching_gland	lateral_plate_mesoderm	unassigned
osbpl3b	1	3	heart_myocardium	endocrine_pancreas	unassigned
nol4la	0	1	neural_telencephalon	enteric_neurons	unassigned
boc	1	0	neurons	neural_floor_plate	unassigned
fam131c	7	8	pharyngeal_arches	neural_optic	unassigned
immp2l	1	0	hatching_gland	optic_cup	unassigned
alpi.1	3	4	muscle	notochord	unassigned
cpne5a	0	1	heart_myocardium	differentiating_neurons	unassigned
slc43a3b	5	3	notochord	heart_myocardium	unassigned
prmt1	1	11	hemangioblasts	midbrain_hindbrain_boundary	unassigned
hes6	1	4	NMPs	tail_bud	unassigned
kcnab1a	7	8	neural_crest	neural	unassigned
prim2	1	0	heart_myocardium	neurons	unassigned
mthfd1a	4	7	hemangioblasts	hatching_gland	unassigned
nr1i2	5	3	hematopoietic_vasculature	epidermis	unassigned
arhgap45b	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
lmo4b	3	4	PSM	somites	unassigned
gsdf	2	6	hatching_gland	heart_myocardium	unassigned
tmtc1	5	3	pharyngeal_arches	notochord	unassigned
si:ch73-217b7.1	2	6	hatching_gland	lateral_plate_mesoderm	unassigned
llgl1	1	0	hindbrain	heart_myocardium	unassigned
dpydb	2	9	endoderm	enteric_neurons	unassigned
itln2.1	0	3	somites	enteric_neurons	unassigned
pax1b	2	9	endocrine_pancreas	pharyngeal_arches	unassigned
jag1a	0	2	neural_posterior	spinal_cord	unassigned
masp1	5	3	heart_myocardium	neural_floor_plate	unassigned
gabra6a	9	12	hatching_gland	hemangioblasts	unassigned
cacna1ia	2	6	hatching_gland	differentiating_neurons	unassigned
fgf13a	0	1	enteric_neurons	differentiating_neurons	unassigned
ppp1r13l	5	3	lateral_plate_mesoderm	pharyngeal_arches	unassigned
fmoda	5	3	neural_telencephalon	pharyngeal_arches	unassigned
gpd2	5	3	epidermis	muscle	unassigned
dspa	3	4	epidermis	endoderm	unassigned
rnf220a	0	2	differentiating_neurons	floor_plate	unassigned
pkp3a	2	6	hatching_gland	endocrine_pancreas	unassigned
dip2ca	1	0	hematopoietic_vasculature	hemangioblasts	unassigned
adgrl3.1	0	2	midbrain_hindbrain_boundary	differentiating_neurons	unassigned
ppp2r5b	0	1	enteric_neurons	differentiating_neurons	unassigned
pdia4	1	0	notochord	hatching_gland	unassigned
pfn1	1	0	epidermis	hematopoietic_vasculature	unassigned
scn1bb	0	1	enteric_neurons	differentiating_neurons	unassigned
rtn2b	6	5	muscle	heart_myocardium	unassigned
gabbr1b	0	1	differentiating_neurons	enteric_neurons	unassigned
neurog1	0	2	differentiating_neurons	neurons	unassigned
cpeb2	1	0	differentiating_neurons	hatching_gland	unassigned
cldn23b	7	8	endocrine_pancreas	hatching_gland	unassigned
plpp1a	1	0	fast_muscle	lateral_plate_mesoderm	unassigned
plcd1b	3	4	epidermis	endocrine_pancreas	unassigned
CABZ01046432.1	7	8	hemangioblasts	PSM	unassigned
nkain2	0	1	differentiating_neurons	enteric_neurons	unassigned
lyz	4	2	enteric_neurons	neural_telencephalon	unassigned
LHX3	0	1	differentiating_neurons	neural_posterior	unassigned
elmsan1b	1	0	lateral_plate_mesoderm	endocrine_pancreas	unassigned
bhlhe40	0	2	hatching_gland	notochord	unassigned
rspo2	0	3	lateral_plate_mesoderm	midbrain_hindbrain_boundary	unassigned
per1a	9	12	heart_myocardium	epidermis	unassigned
rasgrf2b	0	1	somites	neural	unassigned
srgap2	1	0	hindbrain	neural_floor_plate	unassigned
bahcc1a	1	0	tail_bud	NMPs	unassigned
rtn4r	0	1	endocrine_pancreas	enteric_neurons	unassigned
pcna	1	11	neural_posterior	hindbrain	unassigned
FO704622.1	7	8	epidermis	neural	unassigned
elovl1a	2	9	endocrine_pancreas	epidermis	unassigned
fscn1a	1	0	enteric_neurons	hematopoietic_vasculature	unassigned
dachd	5	3	lateral_plate_mesoderm	pharyngeal_arches	unassigned
lrata	2	9	epidermis	endocrine_pancreas	unassigned
luzp2	0	1	tail_bud	PSM	unassigned
myh7bb	6	5	heart_myocardium	endocrine_pancreas	unassigned
b4galnt4b	3	4	hemangioblasts	endocrine_pancreas	unassigned
CR405710.1	6	5	muscle	heart_myocardium	unassigned
zgc:193505	3	4	hatching_gland	enteric_neurons	unassigned
tmem161a	6	5	muscle	fast_muscle	unassigned
spint2	2	6	hatching_gland	endocrine_pancreas	unassigned
tmem240a	0	1	differentiating_neurons	somites	unassigned
nell2b	0	1	differentiating_neurons	enteric_neurons	unassigned
march8	1	0	hindbrain	differentiating_neurons	unassigned
tp73	2	9	epidermis	endocrine_pancreas	unassigned
col9a2	8	10	notochord	lateral_plate_mesoderm	unassigned
ggctb	6	5	muscle	fast_muscle	unassigned
sesn3	1	3	endocrine_pancreas	endoderm	unassigned
igdcc3	0	2	neural_optic	neural_telencephalon	unassigned
gdpd5a	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
taok3a	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
calr3b	1	0	hatching_gland	notochord	unassigned
lhx2a	7	8	enteric_neurons	endocrine_pancreas	unassigned
zcchc24	3	4	hematopoietic_vasculature	lateral_plate_mesoderm	unassigned
slc35f1	0	1	differentiating_neurons	floor_plate	unassigned
pdgfc	5	3	muscle	fast_muscle	unassigned
si:dkey-73n10.1	5	3	pronephros	heart_myocardium	unassigned
nck2a	1	0	hindbrain	neural	unassigned
kcng2	4	7	endoderm	hemangioblasts	unassigned
hephl1a	1	0	epidermis	midbrain_hindbrain_boundary	unassigned
myct1b	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
tjp1a	1	0	hematopoietic_vasculature	lateral_plate_mesoderm	unassigned
cldn5a	0	2	neural_floor_plate	neural_telencephalon	unassigned
si:ch73-248e21.7	4	7	hemangioblasts	hatching_gland	unassigned
tfap2b	0	1	hindbrain	differentiating_neurons	unassigned
astn1	1	0	pronephros	enteric_neurons	unassigned
filip1a	6	5	spinal_cord	endoderm	unassigned
shc2	8	10	enteric_neurons	notochord	unassigned
fbln1	3	4	tail_bud	pronephros	unassigned
pcmtd2a	0	1	enteric_neurons	differentiating_neurons	unassigned
efhd1	6	5	fast_muscle	muscle	unassigned
adgrd2	0	2	spinal_cord	NMPs	unassigned
stab2	4	7	hematopoietic_vasculature	floor_plate	unassigned
scn5lab	0	1	muscle	differentiating_neurons	unassigned
me1	9	12	spinal_cord	notochord	unassigned
CU856539.2	5	3	spinal_cord	notochord	unassigned
sema3bl	0	3	notochord	NMPs	unassigned
tmem38a	6	5	muscle	fast_muscle	unassigned
otx2b	7	4	neural_telencephalon	floor_plate	unassigned
tmtc2a	0	2	fast_muscle	pharyngeal_arches	unassigned
ccdc105	7	8	endocrine_pancreas	lateral_plate_mesoderm	unassigned
fabp11a	0	2	optic_cup	hatching_gland	unassigned
dapk1	1	0	hatching_gland	pharyngeal_arches	unassigned
trim46a	0	1	midbrain_hindbrain_boundary	differentiating_neurons	unassigned
plxdc1	2	9	neural_crest	enteric_neurons	unassigned
grm2b	0	2	NMPs	enteric_neurons	unassigned
syn1	0	1	enteric_neurons	differentiating_neurons	unassigned
cntn2	0	1	enteric_neurons	differentiating_neurons	unassigned
reps2	4	7	hematopoietic_vasculature	pronephros	unassigned
lix1	0	2	neural_telencephalon	neural_optic	unassigned
itsn2a	5	3	hematopoietic_vasculature	enteric_neurons	unassigned
vav2	1	0	enteric_neurons	neural_crest	unassigned
ehd2b	3	4	epidermis	heart_myocardium	unassigned
esr2a	0	1	enteric_neurons	neural_telencephalon	unassigned
scml4	2	6	hatching_gland	differentiating_neurons	unassigned
rfx6	2	9	endocrine_pancreas	endoderm	unassigned
adamts15b	0	2	neural_posterior	optic_cup	unassigned
gfap	0	2	neural_posterior	midbrain_hindbrain_boundary	unassigned
thbs2b	5	3	pharyngeal_arches	notochord	unassigned
taok3b	0	1	differentiating_neurons	hematopoietic_vasculature	unassigned
cxcr3.2	4	2	hatching_gland	hematopoietic_vasculature	unassigned
apc2	0	1	differentiating_neurons	enteric_neurons	unassigned
si:ch1073-268j14.1	6	5	somites	fast_muscle	unassigned
si:rp71-1i20.1	7	8	neural_crest	midbrain_hindbrain_boundary	unassigned
enpep	2	9	notochord	endoderm	unassigned
adcyap1a	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
myom2a	6	5	fast_muscle	somites	unassigned
igf2a	1	0	epidermis	notochord	unassigned
npffr1l3	9	12	hatching_gland	endocrine_pancreas	unassigned
tuba8l4	1	11	hemangioblasts	PSM	unassigned
ncam3	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
snap91b	0	1	enteric_neurons	differentiating_neurons	unassigned
si:dkey-52l18.4	3	4	hematopoietic_vasculature	lateral_plate_mesoderm	unassigned
st8sia2	0	2	neural_floor_plate	midbrain_hindbrain_boundary	unassigned
dlx3b	3	4	epidermis	enteric_neurons	unassigned
sema3e	5	3	lateral_plate_mesoderm	pronephros	unassigned
cldn15b	5	3	endoderm	heart_myocardium	unassigned
serbp1a	1	11	fast_muscle	hemangioblasts	unassigned
golga7ba	0	1	differentiating_neurons	enteric_neurons	unassigned
plch1	0	2	hindbrain	neural_floor_plate	unassigned
anos1a	0	1	enteric_neurons	epidermis	unassigned
dact2	3	4	hemangioblasts	pronephros	unassigned
nr2f1a	0	2	neural_floor_plate	heart_myocardium	unassigned
foxb1a	0	2	spinal_cord	neural_posterior	unassigned
chadla	8	10	neural_telencephalon	endocrine_pancreas	unassigned
dock9b	6	5	muscle	enteric_neurons	unassigned
lygl2	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
plxna4	0	1	enteric_neurons	neural_telencephalon	unassigned
fam222a	3	4	NMPs	tail_bud	unassigned
fam149a	5	3	hemangioblasts	lateral_plate_mesoderm	unassigned
st8sia5	0	1	enteric_neurons	differentiating_neurons	unassigned
zgc:172133	9	12	muscle	neural	unassigned
cpe	0	1	hatching_gland	enteric_neurons	unassigned
pcp4a	8	10	notochord	muscle	unassigned
myl7	0	2	heart_myocardium	lateral_plate_mesoderm	unassigned
cmlc1	0	2	heart_myocardium	neural_posterior	unassigned
si:ch73-269m23.5	3	4	tail_bud	NMPs	unassigned
hsd20b2	9	12	hematopoietic_vasculature	epidermis	unassigned
C24H8orf34	2	6	hatching_gland	NMPs	unassigned
bmpr1ab	1	0	spinal_cord	neural	unassigned
gal3st2	8	10	notochord	NMPs	unassigned
pkp1b	2	6	hatching_gland	epidermis	unassigned
klhl41a	6	5	muscle	fast_muscle	unassigned
slc16a3	0	1	midbrain_hindbrain_boundary	differentiating_neurons	unassigned
si:dkeyp-46h3.8	2	6	muscle	notochord	unassigned
sall3a	0	1	endocrine_pancreas	floor_plate	unassigned
si:dkeyp-69b9.3	6	5	muscle	fast_muscle	unassigned
slc16a4	0	1	neural_telencephalon	neural_floor_plate	unassigned
mki67	1	11	hemangioblasts	tail_bud	unassigned
znf704	1	0	PSM	hatching_gland	unassigned
b3gnt5b	2	6	hatching_gland	endoderm	unassigned
prkd3	1	0	notochord	heart_myocardium	unassigned
march1	2	6	hatching_gland	neural	unassigned
crabp1b	0	1	enteric_neurons	differentiating_neurons	unassigned
phox2bb	0	2	neural_floor_plate	neural_posterior	unassigned
cavin2a	2	9	epidermis	neural_posterior	unassigned
atp2b1a	1	0	hemangioblasts	endoderm	unassigned
adamts18	3	4	NMPs	tail_bud	unassigned
fezf2	7	8	neural_telencephalon	neural_optic	unassigned
STX3	9	12	hatching_gland	floor_plate	unassigned
psd2	4	7	hematopoietic_vasculature	neural_crest	unassigned
agap3	1	0	neurons	epidermis	unassigned
qsox2	1	0	differentiating_neurons	floor_plate	unassigned
eno2	0	1	enteric_neurons	differentiating_neurons	unassigned
si:ch211-254n4.3	5	3	notochord	lateral_plate_mesoderm	unassigned
lhx4	0	1	differentiating_neurons	spinal_cord	unassigned
bdnf	7	8	epidermis	enteric_neurons	unassigned
gucy1b1	2	6	floor_plate	notochord	unassigned
stm	3	4	endoderm	endocrine_pancreas	unassigned
cnfn	2	6	hatching_gland	neural_posterior	unassigned
adrb2a	5	3	heart_myocardium	hematopoietic_vasculature	unassigned
coro1ca	1	0	hematopoietic_vasculature	lateral_plate_mesoderm	unassigned
crb3b	2	9	endocrine_pancreas	endoderm	unassigned
dennd5b	0	2	neurons	neural_posterior	unassigned
fryl	1	0	NMPs	notochord	unassigned
pld1a	5	3	notochord	NMPs	unassigned
nhsl1b	1	0	spinal_cord	endocrine_pancreas	unassigned
TAGAP	4	7	hatching_gland	hematopoietic_vasculature	unassigned
si:ch211-216p19.6	2	6	hatching_gland	endocrine_pancreas	unassigned
camkk1a	2	6	hatching_gland	epidermis	unassigned
soga3a	2	6	differentiating_neurons	enteric_neurons	unassigned
rbms1b	5	3	endocrine_pancreas	pharyngeal_arches	unassigned
CABZ01092982.2	3	4	muscle	PSM	unassigned
svep1	5	3	heart_myocardium	lateral_plate_mesoderm	unassigned
her13	0	1	differentiating_neurons	neural_posterior	unassigned
myo18aa	2	6	floor_plate	hatching_gland	unassigned
kif5aa	0	1	differentiating_neurons	enteric_neurons	unassigned
nradd	3	4	NMPs	tail_bud	unassigned
si:ch211-132b12.4	7	8	floor_plate	muscle	unassigned
cntnap5a	0	1	enteric_neurons	muscle	unassigned
inab	0	1	differentiating_neurons	enteric_neurons	unassigned
reep1	6	5	fast_muscle	hemangioblasts	unassigned
jupb	1	0	hematopoietic_vasculature	lateral_plate_mesoderm	unassigned
EML5	0	1	differentiating_neurons	enteric_neurons	unassigned
cldn17	1	0	hatching_gland	endocrine_pancreas	unassigned
dnah2	7	13	spinal_cord	pronephros	unassigned
ppp2r2bb	0	1	enteric_neurons	differentiating_neurons	unassigned
hoxa11a	3	4	NMPs	tail_bud	unassigned
abca2	1	3	differentiating_neurons	heart_myocardium	unassigned
si:dkey-7f3.14	7	8	tail_bud	PSM	unassigned
nrip1a	6	5	muscle	PSM	unassigned
zmp:0000000936	1	0	midbrain_hindbrain_boundary	hemangioblasts	unassigned
bicdl2	2	6	epidermis	endocrine_pancreas	unassigned
pimr64	7	8	neurons	neural_crest	unassigned
tinagl1	0	1	spinal_cord	muscle	unassigned
gpr156	4	2	somites	muscle	unassigned
rnasekb	0	2	differentiating_neurons	hatching_gland	unassigned
bach2b	1	0	hindbrain	neural_optic	unassigned
adcy8	0	1	differentiating_neurons	neural_telencephalon	unassigned
nrd1b	2	6	hatching_gland	muscle	unassigned
si:dkey-57c15.1	7	8	neural_floor_plate	hatching_gland	unassigned
ddit4	3	4	PSM	tail_bud	unassigned
plch2a	2	6	endocrine_pancreas	hatching_gland	unassigned
cntfr	1	2	hindbrain	neural_floor_plate	unassigned
col11a2	8	10	notochord	NMPs	unassigned
tbxta	3	4	notochord	NMPs	unassigned
mylz3	6	5	PSM	tail_bud	unassigned
rplp0	1	11	hemangioblasts	fast_muscle	unassigned
zfpm1	5	3	heart_myocardium	hemangioblasts	unassigned
six2a	5	3	lateral_plate_mesoderm	pharyngeal_arches	unassigned
amotl2a	1	0	differentiating_neurons	enteric_neurons	unassigned
pip5k1bb	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
LRFN2	0	1	endocrine_pancreas	differentiating_neurons	unassigned
ptf1a	4	2	hindbrain	neural_floor_plate	unassigned
rx3	3	4	neural_telencephalon	optic_cup	unassigned
spi1b	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
adam8a	3	4	NMPs	lateral_plate_mesoderm	unassigned
ackr3a	0	2	midbrain_hindbrain_boundary	neural_optic	unassigned
camk2b1	1	0	hemangioblasts	neural_telencephalon	unassigned
pcdh1b	1	0	hatching_gland	neural_telencephalon	unassigned
fndc3ba	1	0	notochord	NMPs	unassigned
brsk2b	0	2	differentiating_neurons	spinal_cord	unassigned
ak9	7	13	floor_plate	notochord	unassigned
efcc1	0	2	neural_posterior	floor_plate	unassigned
mylk5	5	3	pronephros	endoderm	unassigned
CABZ01018956.1	7	8	heart_myocardium	hemangioblasts	unassigned
SH3TC1	2	6	hatching_gland	hematopoietic_vasculature	unassigned
oafa	3	4	notochord	heart_myocardium	unassigned
jakmip1	2	6	hatching_gland	notochord	unassigned
vipr1b	2	9	lateral_plate_mesoderm	endoderm	unassigned
cdh17	5	3	pronephros	hematopoietic_vasculature	unassigned
unm-sa1614	0	1	differentiating_neurons	hematopoietic_vasculature	unassigned
sccpdha.2	7	8	pronephros	neural	unassigned
adgrg1.1	0	2	differentiating_neurons	neural_floor_plate	unassigned
sh3gl1a	2	9	epidermis	endocrine_pancreas	unassigned
id2b	1	0	notochord	neural_posterior	unassigned
nfasca	0	1	enteric_neurons	differentiating_neurons	unassigned
atp8a2	1	0	muscle	enteric_neurons	unassigned
bcl2l11	1	0	endoderm	notochord	unassigned
chrnb1l	6	5	muscle	hatching_gland	unassigned
AL929453.1	0	1	enteric_neurons	hatching_gland	unassigned
sostdc1a	7	8	pharyngeal_arches	hematopoietic_vasculature	unassigned
pcdh2ab2.1	7	8	differentiating_neurons	enteric_neurons	unassigned
si:dkey-11m19.5	7	13	pronephros	hematopoietic_vasculature	unassigned
tspan4b	5	3	hematopoietic_vasculature	notochord	unassigned
znf804b	7	8	differentiating_neurons	fast_muscle	unassigned
ablim2	8	10	notochord	enteric_neurons	unassigned
vsx2	0	2	optic_cup	neural_optic	unassigned
nkx2.1	7	8	neural_telencephalon	floor_plate	unassigned
cnmd	8	10	notochord	pharyngeal_arches	unassigned
afdna	1	0	hatching_gland	heart_myocardium	unassigned
ccndx	0	1	differentiating_neurons	neural_posterior	unassigned
luzp1	1	0	PSM	notochord	unassigned
gna15.1	2	9	epidermis	endocrine_pancreas	unassigned
tpst1	1	0	lateral_plate_mesoderm	pharyngeal_arches	unassigned
suclg2	1	0	hemangioblasts	muscle	unassigned
zgc:174935	2	6	hatching_gland	endoderm	unassigned
zfhx3	0	2	neural_posterior	lateral_plate_mesoderm	unassigned
gpc1b	0	1	enteric_neurons	heart_myocardium	unassigned
si:dkey-49n23.1	1	0	hindbrain	neural_floor_plate	unassigned
CCDC134	7	8	hemangioblasts	enteric_neurons	unassigned
armc3	7	13	pronephros	muscle	unassigned
cadm4	0	2	differentiating_neurons	floor_plate	unassigned
brinp1	0	1	enteric_neurons	differentiating_neurons	unassigned
fndc3bb	1	0	epidermis	hatching_gland	unassigned
si:ch211-160j14.3	5	3	pharyngeal_arches	somites	unassigned
kdrl	4	7	hematopoietic_vasculature	neural_floor_plate	unassigned
col14a1a	1	9	epidermis	spinal_cord	unassigned
caska	3	4	notochord	pharyngeal_arches	unassigned
nedd4l	6	5	muscle	fast_muscle	unassigned
anxa1c	1	4	epidermis	enteric_neurons	unassigned
adgrl1a	0	2	neurons	hindbrain	unassigned
amot	1	2	neural_telencephalon	neural	unassigned
myhz1.3	4	2	hematopoietic_vasculature	hemangioblasts	unassigned
sgca	6	5	muscle	fast_muscle	unassigned
cd248b	5	3	pharyngeal_arches	lateral_plate_mesoderm	unassigned
nkx2.9	7	2	neural_telencephalon	floor_plate	unassigned
tlx1	8	10	pharyngeal_arches	heart_myocardium	unassigned
plod1a	1	0	notochord	epidermis	unassigned
ache	0	1	differentiating_neurons	muscle	unassigned
si:dkey-28k24.2.2	7	8	hatching_gland	lateral_plate_mesoderm	unassigned
ntn1b	0	2	floor_plate	neural_telencephalon	unassigned
slc15a1a	8	10	notochord	endocrine_pancreas	unassigned
ebf2	0	1	enteric_neurons	differentiating_neurons	unassigned
phldb1a	6	5	muscle	endoderm	unassigned
cyp46a1.1	4	7	hemangioblasts	endocrine_pancreas	unassigned
si:ch211-216b21.2	0	2	neural_posterior	differentiating_neurons	unassigned
ftr82	5	3	heart_myocardium	pronephros	unassigned
coro1a	4	2	epidermis	hematopoietic_vasculature	unassigned
galnt16	8	10	notochord	differentiating_neurons	unassigned
en1a	4	2	midbrain_hindbrain_boundary	neural	unassigned
pcdh1g14	0	1	differentiating_neurons	enteric_neurons	unassigned
elovl1b	2	9	endoderm	hatching_gland	unassigned
si:ch211-198d23.1	2	6	neural	hatching_gland	unassigned
c3b.1	1	0	endoderm	hatching_gland	unassigned
slc7a14a	0	1	differentiating_neurons	enteric_neurons	unassigned
mmp13a.1	0	2	epidermis	hematopoietic_vasculature	unassigned
creb5b	1	3	lateral_plate_mesoderm	hematopoietic_vasculature	unassigned
si:dkey-34e4.1	0	2	neural_telencephalon	neural	unassigned
nedd9	1	0	notochord	PSM	unassigned
si:ch211-120k19.1	9	12	notochord	endocrine_pancreas	unassigned
p2ry12	8	10	lateral_plate_mesoderm	pharyngeal_arches	unassigned
col1a1a	6	5	somites	fast_muscle	unassigned
cnksr2b	0	1	enteric_neurons	fast_muscle	unassigned
yrk	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
dab2	4	2	hematopoietic_vasculature	neural	unassigned
gnai2a	1	0	PSM	hematopoietic_vasculature	unassigned
tyrp1a	4	2	neural	fast_muscle	unassigned
mafba	1	0	neural_posterior	hindbrain	unassigned
ccng1	1	0	hemangioblasts	fast_muscle	unassigned
zmat4a	0	1	differentiating_neurons	neurons	unassigned
CU468826.3	7	8	PSM	tail_bud	unassigned
sulf2a	0	2	neural_posterior	differentiating_neurons	unassigned
ccser1	2	6	hatching_gland	enteric_neurons	unassigned
rbms2b	3	4	pharyngeal_arches	lateral_plate_mesoderm	unassigned
pcdh18b	0	2	differentiating_neurons	enteric_neurons	unassigned
anxa6	6	5	muscle	fast_muscle	unassigned
itgb8	0	2	optic_cup	floor_plate	unassigned
uncx4.1	6	5	somites	fast_muscle	unassigned
osbpl3a	5	3	epidermis	hatching_gland	unassigned
magoh	1	11	hemangioblasts	pharyngeal_arches	unassigned
stard13a	5	3	pharyngeal_arches	NMPs	unassigned
trim35-7.1	3	4	hemangioblasts	tail_bud	unassigned
dmrt1	1	0	neural_optic	notochord	unassigned
glceb	1	0	neural	enteric_neurons	unassigned
si:dkey-208k4.2	9	12	PSM	muscle	unassigned
polrmt	1	0	neural_floor_plate	pharyngeal_arches	unassigned
stim1b	2	6	hatching_gland	notochord	unassigned
zbtb18	1	0	muscle	fast_muscle	unassigned
ogna	2	9	epidermis	fast_muscle	unassigned
tfpia	5	3	lateral_plate_mesoderm	muscle	unassigned
zbtb16a	1	0	midbrain_hindbrain_boundary	neural_optic	unassigned
bmp4	1	0	hatching_gland	NMPs	unassigned
cyth1a	5	3	lateral_plate_mesoderm	pharyngeal_arches	unassigned
fxr2	1	0	muscle	fast_muscle	unassigned
lama4	6	3	pharyngeal_arches	enteric_neurons	unassigned
crybg1b	2	6	endocrine_pancreas	hatching_gland	unassigned
fkbp10b	5	3	notochord	epidermis	unassigned
si:dkey-87o1.2	2	6	endoderm	endocrine_pancreas	unassigned
tectb	7	8	endoderm	enteric_neurons	unassigned
ppp1r9alb	5	3	epidermis	somites	unassigned
camk2d2	0	1	differentiating_neurons	enteric_neurons	unassigned
marcksl1a	1	11	hematopoietic_vasculature	neural_optic	unassigned
CABZ01085700.1	2	9	hatching_gland	endoderm	unassigned
glrbb	0	1	differentiating_neurons	muscle	unassigned
ism2a	5	3	endocrine_pancreas	endoderm	unassigned
efna1b	1	0	NMPs	tail_bud	unassigned
taar20w	0	3	PSM	enteric_neurons	unassigned
crispld1a	5	3	lateral_plate_mesoderm	hematopoietic_vasculature	unassigned
si:ch73-313l22.2	7	8	tail_bud	PSM	unassigned
kcnn1a	0	1	differentiating_neurons	hematopoietic_vasculature	unassigned
ablim1a	0	1	enteric_neurons	hematopoietic_vasculature	unassigned
si:dkey-21o19.2	2	6	hatching_gland	enteric_neurons	unassigned
itga6l	3	4	endoderm	endocrine_pancreas	unassigned
stk17al	1	0	muscle	differentiating_neurons	unassigned
depdc7a	3	4	NMPs	tail_bud	unassigned
bsx	7	8	neural_optic	midbrain_hindbrain_boundary	unassigned
lcp2b	7	8	hemangioblasts	neurons	unassigned
sgip1a	5	3	notochord	lateral_plate_mesoderm	unassigned
mt-atp6	1	0	fast_muscle	neural_crest	unassigned
gli1	1	0	muscle	lateral_plate_mesoderm	unassigned
CRACR2A	2	6	hatching_gland	hemangioblasts	unassigned
